"id","text","author_username","author_id","created_at","like_count","reply_count","retweet_count","quote_count","bookmark_count","impression_count","lang","conversation_id","hashtags","mentions","x_fetched_at"
"1962795707917836704","@BudiBukanIntel bang bud coba deh tengkok video ini, perihal MBG, yg wadah nya itu dibuat Dari cina Dan bahan bahan nya non foodgrdae
https://t.co/RuZ6deW3q2","est17_","1165482868958609410","2025-09-02 08:32:18","0","0","0","0","0","89","in","1962748206934368644","[]","[""@BudiBukanIntel""]","2025-09-13 16:43:49"
"1969287558590025729","Kalau gue inget-inget pelajaran kimia sewaktu SMA, wajar sih ada hipotesis bahwa food tray yang saat ini banyak digunakan jadi salah satu potensi penyebab keracunan. Kalau ga salah, sebagian tray punya grade stainless steel 201 yang sebenarnya ini tuh kurang tahan sama lingkungan lembab, garam, atau panas tinggi karena kandungan mangan tinggi (5,5–7,5%), nikel rendah (3,5–5,5%), & kromium cuma (16–18%).

Tray MBG sudah pasti tuh kan sering terpapar air, deterjen, & residu makanan, yang secara teknis bisa merusak lapisan oksida kromium. Ada reaksi elektrokimia yaitu Fe + O2 + H2O → Fe(OH)2, alias membentuk Fe2O3 (karat). Hasilnya, timbul proses kontaminasi dari leaching logam di tray ke makanan. Mungkin pemikiran ini salah, tapi—

1. Menu MBG kan kadang ada sayur, buah, atau sausnya, yang sebenarnya itu semua bisa aja bersifat asam. Makanan asam (pH < 4,5, kayak tomat, jeruk, atau cuka) bahkan mempercepat korosi tray 201 melalui reaksi H+ dengan lapisan oksida, bikin leaching ion mangan (Mn), nikel (Ni), & kromium (Cr). Sialnya, mangan berlebih bisa bikin gangguan neurologis (tremor, kekakuan otot), sementara kontaminasi nikel memicu alergi kulit atau masalah pernapasan jangka panjang. Jadi apakah set menu super minimalis yang selama ini membagongkan kita ternyata tujuannya adalah supaya anak-anak ga terkontaminasi berlebih? 😵‍💫

2. Makanan panas (misal nasi atau sup) mengeluarkan energi thermal yang memfasilitasi difusi ion dari matriks logam. Ini bisa mempercepat laju migrasi ion sampai 10 kali lipat. Bisa aja proses ini bikin kemunculan timbal (Pb) yang lebih dari 0,01 mg/kg di tray 201. Kalau kita cek kadar ini sudah melebihi batas aman yang ditetapkan sama BPOM.

3. Kira-kira apa yang biasa kita pakai buat nyuci piring? Yak betul. Spons & sabun cuci piring. Kalau pencucian tray 201 memakai spons abrasif atau deterjen kuat (misal mengandung asam sitrat) maka lapisan pasivasi (Cr2O3) bisa terkikis sehingga mempercepat korosi. Bayangkan kalau ada dapur yang mencuci secara massal tanpa prosedur standar. Goresan atau penyok pada tray bisa bikin area tersebut menjadi anoda dalam sel korosi yang mempercepat leaching.

By the way, karena penerima manfaat MBG adalah anak-anak, maka tingkat kerentanannya lebih besar dan reaksi yang timbul bisa lebih cepat, karena metabolisme anak lebih tinggi dibanding orang dewasa.

Lalu bagaimana dengan kasus keracunan yang disebabkan bakteri kayak Salmonella atau E. Coli? Ini mungkin banget dan bisa kita kategorikan sebagai kontaminasi sekunder dari tray rusak atau treatment bahan makanan yang ga sesuai standar higienis. Cuma untuk kemungkinan ini, variabelnya lebih banyak, termasuk variabel ga terduga kayak tingkat imunitas seseorang.

Jadi gmn dong supaya anak-anak ga keracunan MBG? Jawabannya sungguh sederhana wahai bapak ibu sekalian. Intinya dimulai dengan bangun lebih pagi lagi wkwk.","jisatorio","1414492515143622662","2025-09-20 06:28:36","0","0","0","0","0","12","in","1969287558590025729","[]","[]","2025-09-25 11:10:57"
"1973249312185524367","Kepercayaan terhadap MBG diguncang oleh dugaan bahwa food tray atau ompreng impor asal Tiongkok yang dipakai dalam MBG diproduksi menggunakan minyak atau lemak babi dalam proses pencetakannya.

Ulasan Ahmad Safii Hafid:
https://t.co/UIbVde871s https://t.co/mBtwHI2lkz","omongomongcom","1426085827906478081","2025-10-01 04:51:11","1","0","2","0","0","592","in","1973249312185524367","[]","[]","2025-10-04 02:16:33"
"1962456178044408313","@txtdrkuliner Trust me, back in my junior high time, eating a rice accompanied by a spicy chips was quite a meal to me compared to MBG serving tray.
No offense to the caterers, but shame on the officials who docked their pay.","345Ryz","1245993609276448769","2025-09-01 10:03:08","1","0","0","0","1","2648","en","1962429366828441977","[]","[""@txtdrkuliner""]","2025-09-13 16:48:29"
"1964910833387065820","@GoodRecom lah guru gak ngebagiin ompreng bjir. ama pihak MBG nya ditaroh di ruang giru, trus siswa nya yg ngambil. udahnya dianterin lagi ke ruang guru ama siswa nya. guru hampir ga ngapa ngapaun, suruh nyicip doang.","jxxxng_","1063732654548279296","2025-09-08 04:37:03","0","1","0","0","0","211","in","1964242433912274948","[]","[""@GoodRecom""]","2025-09-13 16:22:13"
"1960705597197726088","@tanyakanrl dan yap betul kemarin ngurus import tempat makan MBG, dan yap mostly dari Shandong China.. dan sempet kena pemeriksaan bece","notastroboee","1164550957436243973","2025-08-27 14:06:57","0","0","0","0","0","160","in","1960620075532038624","[]","[""@tanyakanrl""]","2025-09-14 03:34:11"
"1964932314171060697","Kepala BPJPH, Haikal Hassan, menegaskan pihaknya akan terbang ke China untuk memeriksa langsung food tray atau wadah makan dalam program Makan Bergizi Gratis (MBG) yang diduga mengandung lemak babi. Menurutnya, langkah ini diambil agar isu tersebut tidak hanya ditanggapi sebagai rumor atau hoaks, melainkan diverifikasi melalui audit menyeluruh. BPJPH juga berkomitmen melakukan sertifikasi halal, bukan hanya untuk makanan, tapi juga dapur, menu, serta peralatan yang digunakan dalam program MBG.

Haikal menambahkan bahwa jaminan halal akan mencakup semua aspek, termasuk sertifikasi halal bagi dapur penyedia dan penunjukan penyelia halal. Hal ini menjadi bagian dari sinergi BPJPH dengan Badan Gizi Nasional (BGN) dalam menjamin pemenuhan gizi nasional yang sesuai standar halal. Dengan demikian, kepastian halal tidak hanya melekat pada makanan yang dikonsumsi, melainkan juga peralatan penunjangnya.

Sementara itu, Kepala BGN Dadan Handayana menjelaskan bahwa penggunaan food tray impor dari China dilakukan karena produksi dalam negeri belum mencukupi kebutuhan program MBG. Kapasitas produksi dalam negeri hanya sekitar 10 juta tray per bulan, sementara kebutuhan mencapai 70 juta tray tambahan hingga akhir tahun. Ia memastikan ke depan BGN akan melakukan pengadaan food tray untuk wilayah 3T dengan memprioritaskan produk dalam negeri, melibatkan BPJPH, BPOM, serta Kementerian Perindustrian untuk sertifikasi halal, higienitas, dan SNI.

📸: Dok. Antara.

Jaga Indonesia lewat fakta sebuah gerakan kolaboratif untuk mendorong masyarakat lebih kritis, bijak, dan selalu berpegang pada fakta dalam menyikapi isu-isu serta persoalan bangsa. Seluruh masyarakat indonesia harus berperan aktif menjaga Indonesia dari berbagai sisi, mulai dari ekonomi, politik, pendidikan, pangan, energi, lingkungan, hingga kebudayaan.

Mari bersama jaga Indonesia lewat fakta.

#bisnisupdate #update #bisnis #oneliner #makanbergizigratis #mbg #bpjph #halal #bgn #foodtray #china #produkhalal #info #infoterkini #berita #beritaterkini #jagaindonesia #bicarafaktalewatberita #kumparan #JagaIndonesiaLewatFakta","kumparan","759692754985242625","2025-09-08 06:02:25","150","214","36","114","26","98949","in","1964932314171060697","[""#bisnisupdate"",""#update"",""#bisnis"",""#oneliner"",""#makanbergizigratis"",""#mbg"",""#bpjph"",""#halal"",""#bgn"",""#foodtray"",""#china"",""#produkhalal"",""#info"",""#infoterkini"",""#berita"",""#beritaterkini"",""#jagaindonesia"",""#bicarafaktalewatberita"",""#kumparan"",""#JagaIndonesiaLewatFakta""]","[]","2025-09-16 12:59:33"
"1973735096881655992","Satuan Pelayanan Pemenuhan Gizi (SPPG) Slipi, Palmerah, Jakarta Barat, membeberkan cara mencegah terjadinya kejadian luar biasa (KLB) seperti keracunan usai menyantap Makan Bergizi Gratis (MBG).

Koordinator SPPG Wilayah Jakarta Barat, Yudha Permana, menegaskan kunci utama ada pada penerapan Critical Control Point (CCP). Menurutnya, CCP dilakukan tidak ketika bahan baku datang tapi mulai dari pemilihan menu sudah mempertimbangkan Angka Kecukupan Gizi (AKG).

""Jadi di setiap SPPG itu dipastikan bahwa mereka menjaga CCP atau Critical Control Point. Ini mulai dari awal, sebetulnya tidak ketika bahan baku datang saja, tapi dari awal pembuatan menu. Kita pastikan AKG, Angka Kecukupan Gizinya terpenuhi,"" katanya kepada wartawan, dikutip Sabtu, 27 September 2025.

Yudha mencontohkan, kini susu tidak lagi mengandung kadar gula tinggi. Sebab, Badan Gizi Nasional (BGN) sudah mengingatkan SPPG untuk tidak memberi susu berkadar gula tinggi.

“Itu salah satu bentuk pemilihan pembuatan menu. Baik itu tadi angka kecukupan gizinya, kemudian pemilihan apapun, komponen yang terdapat di dalam ompreng,” tuturnya.

Selain itu, menu disusun rutin setiap pekan melalui rapat tim gizi, agar variasi tetap terjaga. Hingga kini, SPPG Palmerah sudah mengembangkan lebih dari 40 jenis menu, termasuk menyesuaikan permintaan siswa agar mereka tidak bosan.

“Kita sering juga mendengarkan request-request dari siswa. Apakah dia, contoh yang terakhir itu, mereka pingin burger, kita coba fasilitasi. Hal-hal ini yang membuat anak-anak itu menjadi lebih nafsu makan, karena mereka juga merasa bahwa apa yang mereka inginkan itu bisa tersalurkan,“ ucap Yudha.

Asep Bidin Rosidin/PRMN

#MBG #news #SPPG #MakanBergizi","pikiran_rakyat","58880688","2025-10-02 13:01:31","1","0","0","0","1","222","in","1973735096881655992","[""#MBG"",""#news"",""#SPPG"",""#MakanBergizi""]","[]","2025-10-02 14:08:35"
"1960639924048441641","@tanyakanrl Woi, anjing ni orang yg pesen wadah MBG ga ada otak anjing","ampegosong","1056084422666084352","2025-08-27 09:45:59","0","0","0","0","0","177","in","1960620075532038624","[]","[""@tanyakanrl""]","2025-09-14 03:34:11"
"1970615789201039400","trying to pronounce this and ompreng mbg started floating","_94562","833198012","2025-09-23 22:26:31","2","0","0","0","0","37","en","1970615789201039400","[]","[]","2025-10-04 02:03:48"
